('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
("BNS: 1.2 P11'                 ", ['Operators:', '(1|0,0,0)', "(1|0,0,0)'"])
('BNS: 1.3 P_S1                 ', ['Operators', '(BNS):', '(1|0,0,0)', "(1|0,0,1/2)'"])
('BNS: 2.4 P-1                  ', ['Operators:', '(1|0,0,0)', '(-1|0,0,0)'])
("BNS: 2.5 P-11'                ", ['Operators:', '(1|0,0,0)', '(-1|0,0,0)', "(1|0,0,0)'", "(-1|0,0,0)'"])
("BNS: 2.6 P-1'                 ", ['Operators:', '(1|0,0,0)', "(-1|0,0,0)'"])
('BNS: 2.7 P_S-1                ', ['Operators', '(BNS):', '(1|0,0,0)', '(-1|0,0,0)', "(1|0,0,1/2)'", "(-1|0,0,1/2)'"])
('BNS: 3.1 P2                   ', ['Operators:', '(1|0,0,0)', '(2y|0,0,0)'])
("BNS: 3.2 P21'                 ", ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', "(1|0,0,0)'", "(2y|0,0,0)'"])
("BNS: 3.3 P2'                  ", ['Operators:', '(1|0,0,0)', "(2y|0,0,0)'"])
('BNS: 3.4 P_a2                 ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', "(1|1/2,0,0)'", "(2y|1/2,0,0)'"])
('BNS: 3.5 P_b2                 ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', "(1|0,1/2,0)'", "(2y|0,1/2,0)'"])
('BNS: 3.6 P_C2                 ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', "(1|1/2,1/2,0)'", "(2y|1/2,1/2,0)'"])
('BNS: 4.7 P2_1                 ', ['Operators:', '(1|0,0,0)', '(2y|0,1/2,0)'])
("BNS: 4.8 P2_11'               ", ['Operators:', '(1|0,0,0)', '(2y|0,1/2,0)', "(1|0,0,0)'", "(2y|0,1/2,0)'"])
("BNS: 4.9 P2_1'                ", ['Operators:', '(1|0,0,0)', "(2y|0,1/2,0)'"])
('BNS: 4.10 P_a2_1              ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,0)', "(1|1/2,0,0)'", "(2y|1/2,1/2,0)'"])
('BNS: 4.11 P_b2_1              ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,0)', "(1|0,1/2,0)'", "(2y|0,0,0)'"])
('BNS: 4.12 P_C2_1              ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,0)', "(1|1/2,1/2,0)'", "(2y|1/2,0,0)'"])
('BNS: 5.13 C2                  ', ['Operators:', '(1|0,0,0)', '(2y|0,0,0)'])
("BNS: 5.14 C21'                ", ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', "(1|0,0,0)'", "(2y|0,0,0)'"])
("BNS: 5.15 C2'                 ", ['Operators:', '(1|0,0,0)', "(2y|0,0,0)'"])
('BNS: 5.16 C_c2                ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', "(1|0,0,1/2)'", "(2y|0,0,1/2)'"])
('BNS: 5.17 C_a2                ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', "(1|1/2,0,0)'", "(2y|0,1/2,0)'"])
('BNS: 6.18 Pm                  ', ['Operators:', '(1|0,0,0)', '(my|0,0,0)'])
("BNS: 6.19 Pm1'                ", ['Operators:', '(1|0,0,0)', '(my|0,0,0)', "(1|0,0,0)'", "(my|0,0,0)'"])
("BNS: 6.20 Pm'                 ", ['Operators:', '(1|0,0,0)', "(my|0,0,0)'"])
('BNS: 6.21 P_am                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,0)', "(1|1/2,0,0)'", "(my|1/2,0,0)'"])
('BNS: 6.22 P_bm                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,0)', "(1|0,1/2,0)'", "(my|0,1/2,0)'"])
('BNS: 6.23 P_Cm                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,0)', "(1|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 7.24 Pc                  ', ['Operators:', '(1|0,0,0)', '(my|0,0,1/2)'])
("BNS: 7.25 Pc1'                ", ['Operators:', '(1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,0)'", "(my|0,0,1/2)'"])
("BNS: 7.26 Pc'                 ", ['Operators:', '(1|0,0,0)', "(my|0,0,1/2)'"])
('BNS: 7.27 P_ac                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|1/2,0,0)'", "(my|1/2,0,1/2)'"])
('BNS: 7.28 P_cc                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,1/2)'", "(my|0,0,0)'"])
('BNS: 7.29 P_bc                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|0,1/2,0)'", "(my|0,1/2,1/2)'"])
('BNS: 7.30 P_Cc                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|1/2,1/2,0)'", "(my|1/2,1/2,1/2)'"])
('BNS: 7.31 P_Ac                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|0,1/2,1/2)'", "(my|0,1/2,0)'"])
('BNS: 8.32 Cm                  ', ['Operators:', '(1|0,0,0)', '(my|0,0,0)'])
("BNS: 8.33 Cm1'                ", ['Operators:', '(1|0,0,0)', '(my|0,0,0)', "(1|0,0,0)'", "(my|0,0,0)'"])
("BNS: 8.34 Cm'                 ", ['Operators:', '(1|0,0,0)', "(my|0,0,0)'"])
('BNS: 8.35 C_cm                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,0)', "(1|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 8.36 C_am                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,0)', "(1|1/2,0,0)'", "(my|0,1/2,0)'"])
